"","ranks","title","ratings","voteCount.51.250."
"1","50"," When They See Us","9.0"," (19K)"
"2","51"," Taskmaster","8.8"," (266K)"
"3","52"," Succession","8.9"," (17K)"
"4","53"," Africa","8.9"," (1.1M)"
"5","54"," Friends","9.0"," (21K)"
"6","55"," As If","9.1"," (72K)"
"7","56"," TVF Pitchers","8.8"," (250K)"
"8","57"," It's Always Sunny in Philadelphia","8.8"," (78K)"
"9","58"," Monty Python's Flying Circus","8.9"," (85K)"
"10","59"," The West Wing","8.8"," (33K)"
"11","60"," Das Boot","8.8"," (144K)"
"12","61"," Curb Your Enthusiasm","9.0"," (227K)"
"13","62"," One Piece","8.8"," (186K)"
"14","63"," BoJack Horseman","8.8"," (100K)"
"15","64"," Fawlty Towers","9.1"," (96K)"
"16","65"," Leyla and Mecnun","8.8"," (92K)"
"17","66"," Pride and Prejudice","8.8"," (152K)"
"18","67"," Freaks and Geeks","8.8"," (57K)"
"19","68"," Blackadder Goes Forth","8.8"," (214K)"
"20","69"," Twin Peaks","8.8"," (146K)"
"21","70"," Dragon Ball Z","8.8"," (467K)"
"22","71"," Narcos","8.8"," (71K)"
"23","72"," Chappelle's Show","8.8"," (87K)"
"24","73"," Dragon Ball Z","9.1"," (11K)"
"25","74"," Reply 1988","8.8"," (19K)"
"26","75"," I, Claudius","8.7"," (634K)"
"27","76"," Black Mirror","8.7"," (404K)"
"28","77"," South Park","8.8"," (341K)"
"29","78"," Ted Lasso","8.8"," (70K)"
"30","79"," Over the Garden Wall","9.0"," (80K)"
"31","80"," Kota Factory","8.8"," (69K)"
"32","81"," Vinland Saga","8.7"," (506K)"
"33","82"," The Last of Us","9.1"," (21K)"
"34","83"," Gullak","8.8"," (640K)"
"35","84"," Peaky Blinders","8.7"," (148K)"
"36","85"," Six Feet Under","8.7"," (184K)"
"37","86"," Rome","8.7"," (106K)"
"38","87"," Oz","8.9"," (84K)"
"39","88"," Panchayat","8.8"," (72K)"
"40","89"," Steins;Gate","8.8"," (60K)"
"41","90"," Blue Eye Samurai","8.7"," (439K)"
"42","91"," Dark","8.7"," (638K)"
"43","92"," The Boys","9.0"," (34K)"
"44","93"," Bleach: Thousand-Year Blood War","8.7"," (198K)"
"45","94"," Fleabag","8.7"," (175K)"
"46","95"," Battlestar Galactica","8.7"," (87K)"
"47","96"," The Shield","8.7"," (223K)"
"48","97"," Downton Abbey","8.7"," (433K)"
"49","98"," The Simpsons","8.7"," (52K)"
"50","99"," Berserk","8.7"," (323K)"
"51","100"," Arrested Development","8.7"," (507K)"
"52","101"," House","8.7"," (194K)"
"53","102"," Severance","8.7"," (184K)"
"54","103"," One Punch Man","8.7"," (259K)"
"55","104"," Mad Men","8.7"," (192K)"
"56","105"," Invincible","8.7"," (66K)"
"57","106"," Peep Show","8.7"," (135K)"
"58","107"," Star Trek: The Next Generation","8.7"," (1.3M)"
"59","108"," Stranger Things","8.9"," (23K)"
"60","109"," Mahabharat","8.7"," (24K)"
"61","110"," The Adventures of Sherlock Holmes","8.7"," (142K)"
"62","111"," The Marvelous Mrs","8.7"," (83K)"
"63","112"," The Grand Tour","9.2"," (310K)"
"64","113"," Aspirants","8.7"," (20K)"
"65","114"," Justice League Unlimited","8.7"," (72K)"
"66","115"," Friday Night Lights","8.9"," (18K)"
"67","116"," Sarabhai V/S Sarabhai","8.7"," (582K)"
"68","117"," The Mandalorian","8.9"," (33K)"
"69","118"," Behzat Ç: An Ankara Detective Story","8.7"," (126K)"
"70","119"," Top Gear","8.7"," (69K)"
"71","120"," Line of Duty","8.7"," (164K)"
"72","121"," Naruto: Shippuden","8.7"," (113K)"
"73","122"," 1883","8.7"," (26K)"
