"","Title","Name","Rating","DateReview","TextReview","TitleReview"
"1","Dune: Part Two","AnUglyTruth","9/10","9 March 2024","Dune Part Two is a phenomenal cinematic experience on an epic scale. Movies of this calibre are a rarity these days.Denise Villeneuve is operating on a completely different level, a world class filmmaker. The execution, picturesque visuals and the sound score make this a spectacle which deserves the imax experience.Part two literally picks up where the first movie left off and watching the continuation of Paul's journey and seeing him go on to become Muad'dib is mesmerising.This is sci-fi greatness, only with a slight pacing critique as the movie feels rushed towards the end and certain deviations from the book which stops it from being a true masterpiece.Bring on Dune Messiah!"," A modern sci-fi epic which deserves the IMAX experience"
"2","Dune: Part Two","pexualis-50413","8/10","5 March 2024","Great actors, nice humor, amazyng scenes. One of the best movies for years. Almost 3 hours but easy to watch and enyoj. War scenes on the end of movie should last more, I think that director cut most important part of the movie in just 10 minute. War scenes at the end should last much more. And some parts before are very slow going, simmilar like in part one, but that's not big problem like in part one. I really hope that part 3 will be 10/10 because this book and story deserves only the best! Everyone Who have Imax near should watch it in this kind of cinema, because this is really that tipe of movie, for biggest possible screen."," Great movie"
"3","Dune: Part Two","gregchic","4/10","11 March 2024","This film is not made for people that actually read the book, which is indicative of Hollywood and their monetary backers, sound good, effects great, but the story does not exist, which is not a tribute to Frank Herbert, if you like the book, you are better served by watching the William Hurt version, which serves Franks memory better, the only saving grace for me was Javier Bardem and his portrayal of Stillgar, albeiet with some humour, I don't blame the Director, it's just like LOTR, some books are hard to portray in 480 minutes, I do not mind a slight difference in the story, but whole gaps and missing chapters sometimes make you lose what the storyteller wanted, as Beau would say....it's just a thought."," All spectacle but no storyline"
"4","Dune: Part Two","elitetxin","10/10","9 March 2024","Held my attention from start to finish. The effects and cinematography on display is outstanding. The score is unlike anything I have ever heard and is perfectly suited for the movie. The characters are all complex with their own motivations and goals. 100% recommend seeing this in a high quality cinema for the best experience, it's worth it. Now I'm just waiting for the next entry in this enthralling series. PS: the movie follows on immediately from the previous film without any recap at all so you should rewatch part one or watch some sort of recap to understand what is going on at all times."," Breathtaking"
"5","Dune: Part Two","fszsmzp","4/10","11 March 2024","Denis Villeneuve delivered us another disappointment. After part 1 I was hoping that once we hit the bottom there is only way up but he found another bottom of his talent to descent to. Very choppy development of the storyline. 2 hours of nothing and then 30 seconds of battle. Anyone with half a talent could have made a masterpiece with this story and the budget but Denis destroyed a memory of the story and the game many of us grew up on. There are so many shortcomings in the movie that it's easier to mention the good. Once I come up with something I will update the review for now its just bad aftertaste and wasted 2.5 hours of my life."," Terrible attempt to resurrect a failed part 1"
"6","Dune: Part Two","zvkqmjvh","6/10","10 March 2024","It was definitely way more exiting than the first one, with more interesting characters, and absolutely stunning cinematography. I'd say it's definitely worth watching on a big screen and it's definitely more enjoyable with real booming speakers. But my main two qualms with this movie were, number one: it was too long, three hours? We couldn't have shaved off like forty five minutes? I just don't want to be picking up my phone to check how much longer. Number two it left on another cliffhanger! I thought I had a realistic hope that this three hour sequel would nicely wrap up the series in a nice satisfying way. But it didn't. It left open ended with obvious intentions of a third movie, so great.All in all I'd say it's a cinematic triumph that was just lacking a little girth. Would recommend if you're a sci-fi buff, but it's a one time watch for me."," Better than the first one, still missing something"
"7","Dune: Part Two","vincentfarmer-27675","10/10","10 March 2024","Dune part 2 was what I expected and more. It was most likely the best experience I've ever had watching a movie and I think it is a must watch for everyone. The cinematography was stunning, the performances were very good and the score by Zimmer is just unbelievable, it gives me chills every time and makes the epic scene significantly more epic. Paul's development in this movie reminds me a lot of Anakin in the revenge of the sith. He becomes really powerful and kills every one that stands in his way and I think seeing that power land in his hands makes this movie that much more satisfying. Also Austin Butler's portrayal of Feyd-Rautha was bone chilling. In every one of his scenes he looked so ready to take someone's head off and that kind of psychopathic villain alleviates a movie to a whole other level.Bravo Denis."," Long live the fighters!"
"8","Dune: Part Two","paschalinaioannidou","7/10","6 March 2024","It's a really good sequel but I didn't feel the bond between Paul and the Fremen neither the romance.You are able to understand that the time passed and I understand that that they did not have the time to show everything but because of that the build up was very steady until the final battle.I do not know maybe I was expecting something more due to the high rating and good comments on the film.Other than that the film was great with wonderful scenes, amazing special effects and CGI of course.It is truly a very good apparently for the new era of the sci-fi film and we need this quality on the cinema."," High quality film indeed but it held stability for too long"
"9","Dune: Part Two","wsqmcj-17332","10/10","10 March 2024","Dune: Part Two is a cinematic masterpiece and always will be. Just recently I went to see this film in IMAX screening and it was unbelievable. There is no doubt this film will win best picture of the year; that is how good it is.It's not just the visual effects and costumes though, it's the story and especially the characters. In both films you grow feelings for Paul and Chani and want to know more about there story. It'll always want you leaving more as it did me. We need Dune Messiah now and Children of Dune. I'm not a big book fan, but I'm after I got out of the theater I instantly looked on Amazon for both books. If you really want to watch a movie that might change your life watch both Dune and Dune: Part two.Kudos to director Denis Villeneuve for giving me the movie experience of a lifetime."," I made an account just for this movie.."
"10","Dune: Part Two","RojusSav","7/10","5 March 2024","The film moves very slowly, the main focus is only romance, only at the end does the action begin. Levitation in the air seems illogical, why wasn't it done more often??The film moves very slowly, the main focus is only romance, only at the end does the action begin. Levitation in the air seems illogical, why wasn't it done more often??The film moves very slowly, the main focus is only romance, only at the end does the action begin. Levitation in the air seems illogical, why wasn't it done more often??The film moves very slowly, the main focus is only romance, only at the end does the action begin. Levitation in the air seems illogical, why wasn't it done more often??"," Romance not sci-fi"
